LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=False
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::scatter_         0.04%     233.565us         0.07%     357.537us      39.726us      27.360us         0.02%      27.360us       3.040us           0 b           0 b           0 b           0 b             9            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      27.360us         0.02%      27.360us       3.040us           0 b           0 b           0 b           0 b             9            --  
                                     aten::exponential_         0.03%     137.278us         0.05%     249.857us      27.762us      27.072us         0.02%      27.072us       3.008us           0 b           0 b           0 b           0 b             9            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      27.072us         0.02%      27.072us       3.008us           0 b           0 b           0 b           0 b             9            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.064us         0.02%      24.064us       2.674us           0 b           0 b           0 b           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.586us         0.02%      23.586us       2.621us           0 b           0 b           0 b           0 b             9            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us      23.328us         0.02%      23.328us       2.916us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.560us         0.01%      22.560us       2.507us           0 b           0 b           0 b           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.280us         0.01%      21.280us       2.364us           0 b           0 b           0 b           0 b             9            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      20.768us         0.01%      20.768us       2.967us           0 b           0 b           0 b           0 b             7            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us      19.936us         0.01%      19.936us       2.492us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.328us         0.01%      19.328us       1.074us           0 b           0 b           0 b           0 b            18            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.824us         0.01%      17.824us       0.990us           0 b           0 b           0 b           0 b            18            --  
                                              aten::any         0.03%     162.470us         0.05%     270.840us      30.093us      16.800us         0.01%      17.728us       1.970us           0 b           0 b       4.50 Kb       4.50 Kb             9            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      16.800us         0.01%      16.800us       2.100us           0 b           0 b           0 b           0 b             8            --  
                                            aten::where         0.04%     190.938us         0.07%     371.976us      41.331us      14.656us         0.01%      14.656us       1.628us           0 b           0 b       8.85 Mb           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.656us         0.01%      14.656us       1.628us           0 b           0 b           0 b           0 b             9            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 527.820ms
Self CUDA time total: 154.875ms

