LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=True
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      53.153us         0.03%      53.153us       5.315us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      50.529us         0.03%      50.529us       6.316us           0 b           0 b           0 b           0 b             8            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.417us         0.03%      48.417us       3.026us           0 b           0 b           0 b           0 b            16            --  
                                            aten::fill_         0.15%     466.012us         0.30%     963.020us      20.063us      45.376us         0.02%      45.376us       0.945us           0 b           0 b           0 b           0 b            48            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us      43.295us         0.02%      43.295us       2.165us           0 b           0 b           0 b           0 b            20            --  
                                              aten::div         0.09%     291.185us         0.15%     472.415us      23.621us      41.216us         0.02%      41.216us       2.061us           0 b           0 b      14.98 Mb      14.98 Mb            20            --  
                                      aten::masked_fill         0.03%      83.690us         0.18%     585.606us      58.561us       0.000us         0.00%      39.040us       3.904us           0 b           0 b      14.98 Mb           0 b            10            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      38.080us         0.02%      38.080us       2.380us           0 b           0 b           0 b           0 b            16            --  
void at::native::mbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us      36.832us         0.02%      36.832us       4.604us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_assert_async         0.02%      71.439us         0.05%     175.769us       8.788us      36.832us         0.02%      36.832us       1.842us           0 b           0 b           0 b           0 b            20            --  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us      36.832us         0.02%      36.832us       1.842us           0 b           0 b           0 b           0 b            20            --  
                                               aten::lt         0.09%     299.775us         0.15%     464.254us      23.213us      34.947us         0.02%      34.947us       1.747us           0 b           0 b       5.02 Mb       5.02 Mb            20            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us      33.152us         0.02%      33.152us       1.658us           0 b           0 b           0 b           0 b            20            --  
                                        cudaMemsetAsync         0.36%       1.154ms         0.39%       1.239ms       7.206us       0.000us         0.00%      32.352us       0.188us           0 b           0 b           0 b           0 b           172            --  
                                           Buffer Flush         0.33%       1.072ms         0.34%       1.085ms     542.540us      32.352us         0.02%      32.352us      16.176us           0 b           0 b       2.00 Mb       2.00 Mb             2            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us      31.775us         0.02%      31.775us       3.972us           0 b           0 b           0 b           0 b             8            --  
                                         aten::scatter_         0.08%     270.149us         0.13%     400.336us      40.034us      30.976us         0.02%      30.976us       3.098us           0 b           0 b           0 b           0 b            10            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      30.976us         0.02%      30.976us       3.098us           0 b           0 b           0 b           0 b            10            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, c1...         0.00%       0.000us         0.00%       0.000us       0.000us      29.599us         0.02%      29.599us       3.700us           0 b           0 b           0 b           0 b             8            --  
                                     aten::exponential_         0.04%     142.348us         0.08%     245.396us      24.540us      28.704us         0.01%      28.704us       2.870us           0 b           0 b           0 b           0 b            10            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      28.704us         0.01%      28.704us       2.870us           0 b           0 b           0 b           0 b            10            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      27.776us         0.01%      27.776us       2.778us           0 b           0 b           0 b           0 b            10            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us      25.856us         0.01%      25.856us       3.232us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.315us         0.01%      25.315us       2.531us           0 b           0 b           0 b           0 b            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.936us         0.01%      23.936us       2.394us           0 b           0 b           0 b           0 b            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.537us         0.01%      21.537us       1.077us           0 b           0 b           0 b           0 b            20            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us      20.704us         0.01%      20.704us       2.588us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.744us         0.01%      19.744us       0.987us           0 b           0 b           0 b           0 b            20            --  
                                              aten::any         0.04%     139.868us         0.08%     245.938us      24.594us      16.863us         0.01%      18.719us       1.872us           0 b           0 b       5.00 Kb       5.00 Kb            10            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us      18.336us         0.01%      18.336us       4.584us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.280us         0.01%      17.280us       1.728us           0 b           0 b           0 b           0 b            10            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      16.863us         0.01%      16.863us       2.108us           0 b           0 b           0 b           0 b             8            --  
                                            aten::where         0.05%     171.231us         0.11%     359.077us      35.908us      16.768us         0.01%      16.768us       1.677us           0 b           0 b      14.98 Mb           0 b            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.768us         0.01%      16.768us       1.677us           0 b           0 b           0 b           0 b            10            --  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      16.192us         0.01%      16.192us       0.810us           0 b           0 b           0 b           0 b            20            --  
                                     aten::masked_fill_         0.03%     103.208us         0.06%     181.087us      18.109us      15.808us         0.01%      15.808us       1.581us           0 b           0 b           0 b           0 b            10            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 320.153ms
Self CUDA time total: 191.647ms

